FT-SS-01,FT-SS-02-a,FT-SS-02-b,FT-SS-02-c,FT-SS-02-d,FT-SS-02-e,FT-SS-03-a,FT-SS-03-b,FT-SS-03-c,FT-SS-04,FT-SS-05,FT-SS-06,FT-SS-07-a1,FT-SS-07-a2,FT-SS-07-b,FT-SS-07-c1,FT-SS-07-c2,FT-SS-07-d,FT-SS-07-e1,FT-SS-07-e2,FT-SS-07-f1,FT-SS-07-f2,FT-SS-07-f3,FT-SS-07-f4,FT-SS-07-g1,FT-SS-07-g2,FT-SS-07-g3,FT-SS-07-g4,FT-SS-07-g5,FT-SS-07-g6,FT-SS-07-g7,FT-SS-07-g8,FT-SS-07-h,FT-SS-08-a1,FT-SS-08-a2,FT-SS-08-a3,FT-SS-08-a4,FT-SS-08-b1,FT-SS-08-b2,FT-SS-08-b3,FT-SS-08-b4,FT-SS-08-c,FT-SS-09-a1,FT-SS-09-a2,FT-SS-09-a3,FT-SS-09-a4,FT-SS-09-a5,FT-SS-09-a6,FT-SS-09-a7,FT-SS-09-a8,FT-SS-09-b,FT-SS-09-c,FT-SS-10-a1,FT-SS-10-a2
Determine if the term 'DireWolf' is present in the file,"Identify all occurrences of ""WOLF"" without regard for case.","Locate each time 'wolf' appears, case insensitive.","Locate each time 'Wolf' appears, case insensitive.","Locate each time 'DireWolf' appears, case insensitive.","Locate each time 'WereWolf' appears, case insensitive.","Locate occurrences of ""WOLF"" distinctly as a word independent of substrings.",Search and find 'wolf' without parts of other words.,Search and find 'Wolf' without parts of other words.,"Locate instances where both ""WereWolf"" and ""DireWolf"" are present.",Identify the exact instances of 'Were' or 'Dire.',Search for files having 'fox' but omitting 'tiger.',Search for files with 中国 included.,Search for files with 東京 included.,Search for files with 서울 included.,Search for files with スバル included.,Search for files with みつびし included.,Search for files with Сибирь included.,Search for files with garçon included.,Search for files with Schönheit included.,Search for files with Россия included.,Search for files with فللاف included.,Search for files with 中國 included.,Search for files with 'QuarterHorse' included.,Search for files with mañana included.,Search for files with 'infinity' included.,Search for files with Mäuse included.,Identify instances of 'infinity' in text.,Search for files with Mäuse included.,Search for files with libertà included.,Search for files with liberta included.,Search for files with mañana included.,Search for files with سسكلكا included.,Search for files with 'iron.man@marvel.com' included.,Search for files with 'potus@capitol.gov' included.,Search for files with 'berlin@deutchland.net' included.,Search for files with 'kbg@moscow.red.square.ru' included.,Search for files with '(901)555-1111' included.,Search for files with '301.555-9009' included.,Search for files with '800-555-1122' included.,Search for files with '202.555.3270' included.,Search for files with Social Security Numbers included.,Can you bring up the HTML document referred to as 'longbow'?,Search for the word doc named 'shotgun.',Search for the term 'shotgun' in files.,Search for the word doc named 'peroxide.',Search for the word doc named 'nitroglycerin.',Search for the word doc named 'rifle.',Search for a web page with the title 'crossbow.',Search for the word doc named 'flintlock.',Search for MFT files with the word cañón.,Search for MFT files with the word 'thunderbird'.,Search for words that begin with 'D' and are 8 letters.,
Find all occurrences of 'DireWolf' in the document,"Search for ""WOLF"" instances without considering differences in case.","Identify every mention of 'wolf,' without regard to case.","Identify every mention of 'Wolf,' without regard to case.","Identify every mention of 'DireWolf,' without regard to case.","Identify every mention of 'WereWolf,' without regard to case.","Find only the standalone word ""WOLF"" excluding it from substrings.","Find the whole word 'wolf,' excluding substrings.","Find the whole word 'Wolf,' excluding substrings.","Discover places where ""WereWolf"" and ""DireWolf"" are mentioned together.",Search and identify occurrences of 'Were' or 'Dire.',Locate documents with 'fox' and without 'tiger.',Locate files that show 中国,Locate files that show 東京,Locate files that show 서울,Locate files that show スバル,Locate files that show みつびし,Locate files that show Сибирь,Locate files that show garçon,Locate files that show Schönheit,Locate files that show Россия,Locate files that show فللاف,Locate files that show 中國,Locate files that show 'QuarterHorse.',Locate files that show mañana,Locate files that show 'infinity.',Locate files that show Mäuse,Search for files with 'infinity' included.,Locate files that show Mäuse,Locate files that show libertà,Locate files that show liberta,Locate files that show mañana,Locate files that show سسكلكا,Locate files that show 'iron.man@marvel.com.',Locate files that show 'potus@capitol.gov.',Locate files that show 'berlin@deutchland.net.',Locate files that show 'kbg@moscow.red.square.ru.',Locate files that show '(901)555-1111.',Locate files that show '301.555-9009.',Locate files that show '800-555-1122.',Locate files that show '202.555.3270.',Locate files that show Social Security Numbers.,Could you show me the HTML file called 'longbow'?,Locate a document titled 'shotgun.',Locate word documents that include 'shotgun.',Locate a document titled 'peroxide.',Locate a document titled 'nitroglycerin.',Locate a document titled 'rifle.',Locate the web page named 'crossbow.',Locate a document titled 'flintlock.',Locate MFT files with the word cañón.,Locate MFT files with the word 'thunderbird'.,Locate any word that starts with 'D' and has 8 letters.,
Check if the term 'DireWolf' appears in the file,"Locate occurrences of ""WOLF"" without sensitivity to case.","Find all occurrences of 'wolf,' irrespective of case.","Find all occurrences of 'Wolf,' irrespective of case.","Find all occurrences of 'DireWolf,' irrespective of case.","Find all occurrences of 'WereWolf,' irrespective of case.","Search for ""WOLF"" occurrences specifically as a standalone word, not part of substrings.",Locate instances of 'wolf' without matching within other words.,Locate instances of 'Wolf' without matching within other words.,"Look for occurrences of both ""WereWolf"" and ""DireWolf"" in the text.",Find the exact words 'Were' or 'Dire' in text.,Find files mentioning the word 'fox' and not 'tiger.',Find documents featuring 中国,Find documents featuring 東京,Find documents featuring 서울,Find documents featuring スバル,Find documents featuring みつびし,Find documents featuring Сибирь,Find documents featuring garçon,Find documents featuring Schönheit,Find documents featuring Россия,Find documents featuring فللاف,Find documents featuring 中國,Find documents featuring 'QuarterHorse.',Find documents featuring mañana,Find documents featuring 'infinity.',Find documents featuring Mäuse,Locate files that show 'infinity.',Find documents featuring Mäuse,Find documents featuring libertà,Find documents featuring liberta,Find documents featuring mañana,Find documents featuring سسكلكا,Find documents featuring 'iron.man@marvel.com.',Find documents featuring 'potus@capitol.gov.',Find documents featuring 'berlin@deutchland.net.',Find documents featuring 'kbg@moscow.red.square.ru.',Find documents featuring '(901)555-1111.',Find documents featuring '301.555-9009.',Find documents featuring '800-555-1122.',Find documents featuring '202.555.3270.',Find documents featuring Social Security Numbers.,Retrieve the HTML document named 'longbow.',Find the document called 'shotgun.',Find instances of the word 'shotgun' in documents.,Find the document called 'peroxide.',Find the document called 'nitroglycerin.',Find the document called 'rifle.',Find the web page titled 'crossbow.',Find the document called 'flintlock.',Find MFT files with the word cañón.,Find MFT files with the word 'thunderbird'.,Find any word with 8 characters that starts with 'D'.,
Search the document for instances of 'DireWolf',"Find instances of ""WOLF"" regardless of capitalization.",Search for all instances of the word 'wolf' case insensitively.,Search for all instances of the word 'Wolf' case insensitively.,Search for all instances of the word 'DireWolf' case insensitively.,Search for all instances of the word 'WereWolf' case insensitively.,"Discover instances of ""WOLF"" uniquely as a word separate from substrings.","Identify the exact word 'wolf,' no substrings.","Identify the exact word 'Wolf,' no substrings.","Identify instances where both ""WereWolf"" and ""DireWolf"" appear.",Locate and find the occurrences of 'Were' or 'Dire.',Identify files having 'fox' while excluding 'tiger.',Identify files that mention the string 中国,Identify files that mention the string 東京,Identify files that mention the string 서울,Identify files that mention the string スバル,Identify files that mention the string みつびし,Identify files that mention the string Сибирь,Identify files that mention the string garçon,Identify files that mention the string Schönheit,Identify files that mention the string Россия,Identify files that mention the string فللاف,Identify files that mention the string 中國,Identify files that mention the string 'QuarterHorse.',Identify files that mention the string mañana,Identify files that mention the string 'infinity.',Identify files that mention the string Mäuse,Find documents featuring 'infinity.',Identify files that mention the string Mäuse,Identify files that mention the string libertà,Identify files that mention the string liberta,Identify files that mention the string mañana,Identify files that mention the string سسكلكا,Identify files that mention the string 'iron.man@marvel.com.',Identify files that mention the string 'potus@capitol.gov.',Identify files that mention the string 'berlin@deutchland.net.',Identify files that mention the string 'kbg@moscow.red.square.ru.',Identify files that mention the string '(901)555-1111.',Identify files that mention the string '301.555-9009.',Identify files that mention the string '800-555-1122.',Identify files that mention the string '202.555.3270.',Identify files that mention Social Security Numbers.,Please find the HTML file titled 'longbow.',Identify the file titled 'shotgun.',Identify files that have 'shotgun' mentioned.,Identify the file titled 'peroxide.',Identify the file titled 'nitroglycerin.',Identify the file titled 'rifle.',Identify a web page named 'crossbow.',Identify the file titled 'flintlock.',Identify MFT files with the word cañón.,Identify MFT files with the word 'thunderbird'.,Identify words beginning with 'D' and having 8 characters.,
Locate appearances of the word 'DireWolf' in the document,"Discover occurrences of ""WOLF"" with case sensitivity ignored.","Locate each mention of 'wolf,' with no case consideration.","Locate each mention of 'Wolf,' with no case consideration.","Locate each mention of 'DireWolf,' with no case consideration.","Locate each mention of 'WereWolf,' with no case consideration.","Identify occurrences of ""WOLF"" solely as a separate word, excluding substrings.",Search exclusively for 'wolf' as a complete word.,Search exclusively for 'Wolf' as a complete word.,"Search for occurrences featuring both ""WereWolf"" and ""DireWolf.""",Identify instances of 'Were' and 'Dire' exactly.,Search for files listing 'fox' and not containing 'tiger.',Search for instances of 中国 in text documents.,Search for instances of 東京 in text documents.,Search for instances of 서울 in text documents.,Search for instances of スバル in text documents.,Search for instances of みつびし in text documents.,Search for instances of Сибирь in text documents.,Search for instances of garçon in text documents.,Search for instances of Schönheit in text documents.,Search for instances of Россия in text documents.,Search for instances of فللاف in text documents.,Search for instances of 中國 in text documents.,Search for instances of 'QuarterHorse' in text documents.,Search for instances of mañana in text documents.,Search for instances of 'infinity' in text documents.,Search for instances of Mäuse in text documents.,Identify files that mention the string 'infinity.',Search for instances of Mäuse in text documents.,Search for instances of libertà in text documents.,Search for instances of liberta in text documents.,Search for instances of mañana in text documents.,Search for instances of سسكلكا in text documents.,Search for instances of 'iron.man@marvel.com' in text documents.,Search for instances of 'potus@capitol.gov' in text documents.,Search for instances of 'berlin@deutchland.net' in text documents.,Search for instances of 'kbg@moscow.red.square.ru' in text documents.,Search for instances of '(901)555-1111' in text documents.,Search for instances of '301.555-9009' in text documents.,Search for instances of '800-555-1122' in text documents.,Search for instances of '202.555.3270' in text documents.,Search for instances of Social Security Numbers in text documents.,Locate the HTML document called 'longbow.',Search for a word doc called 'shotgun.',Search for the word 'shotgun' within word files.,Search for a word doc called 'peroxide.',Search for a word doc called 'nitroglycerin.',Search for a word doc called 'rifle.',Search for a page called 'crossbow.',Search for a word doc called 'flintlock.',Search for cañón in MFT and log documents.,Search for 'thunderbird' in MFT and log documents.,Search for any 8-letter word that starts with 'D'.,
Look for the term 'DireWolf' throughout the file,"Search for ""WOLF"" occurrences without distinguishing case.","Identify every occurrence of 'wolf,' ignoring case.","Identify every occurrence of 'Wolf,' ignoring case.","Identify every occurrence of 'DireWolf,' ignoring case.","Identify every occurrence of 'WereWolf,' ignoring case.","Locate the word ""WOLF"" independently without it being part of substrings.","Find 'wolf' as a standalone word, excluding parts of other words.","Find 'Wolf' as a standalone word, excluding parts of other words.","Find instances where ""WereWolf"" and ""DireWolf"" occur together.",Search for occurrences of 'Were' or 'Dire.',Locate files that include 'fox' without mentioning 'tiger.',Locate files containing the exact string 中国,Locate files containing the exact string 東京,Locate files containing the exact string 서울,Locate files containing the exact string スバル,Locate files containing the exact string みつびし,Locate files containing the exact string Сибирь,Locate files containing the exact string garçon,Locate files containing the exact string Schönheit,Locate files containing the exact string Россия,Locate files containing the exact string فللاف,Locate files containing the exact string 中國,Locate files containing the exact string 'QuarterHorse.',Locate files containing the exact string mañana,Locate files containing the exact string 'infinity.',Locate files containing the exact string Mäuse,Search for instances of 'infinity' in text documents.,Locate files containing the exact string Mäuse,Locate files containing the exact string libertà,Locate files containing the exact string liberta,Locate files containing the exact string mañana,Locate files containing the exact string سسكلكا,Locate files containing the exact string 'iron.man@marvel.com.',Locate files containing the exact string 'potus@capitol.gov.',Locate files containing the exact string 'berlin@deutchland.net.',Locate files containing the exact string 'kbg@moscow.red.square.ru.',Locate files containing the exact string '(901)555-1111.',Locate files containing the exact string '301.555-9009.',Locate files containing the exact string '800-555-1122.',Locate files containing the exact string '202.555.3270.',Locate files containing the exact term Social Security Numbers.,Can you get the HTML file referred to as 'longbow'?,Locate the document named 'shotgun.',Locate documents that contain 'shotgun.',Locate the document named 'peroxide.',Locate the document named 'nitroglycerin.',Locate the document named 'rifle.',Locate the web page titled 'crossbow.',Locate the document named 'flintlock.',Locate cañón in MFT and log documents.,Locate 'thunderbird' in MFT and log documents.,Locate words having 8 characters starting with 'D'.,
Identify any occurrences of 'DireWolf' in the document,"Locate every instance of ""WOLF"" irrespective of case.","Detect all mentions of 'wolf,' case insensitively.","Detect all mentions of 'Wolf,' case insensitively.","Detect all mentions of 'DireWolf,' case insensitively.","Detect all mentions of 'WereWolf,' case insensitively.","Find instances of ""WOLF"" without considering it within compound words or substrings.",Locate the whole word 'wolf' without matching substrings.,Locate the whole word 'Wolf' without matching substrings.,"Locate occurrences where both ""WereWolf"" and ""DireWolf"" are found.",Find and identify the words 'Were' or 'Dire.',Find documents where 'fox' is present but 'tiger' is not.,Find files listing 中国,Find files listing 東京,Find files listing 서울,Find files listing スバル,Find files listing みつびし,Find files listing Сибирь,Find files listing garçon,Find files listing Schönheit,Find files listing Россия,Find files listing فللاف,Find files listing 中國,Find files listing 'QuarterHorse.',Find files listing mañana,Find files listing 'infinity.',Find files listing Mäuse,Locate files containing the exact string 'infinity.',Find files listing Mäuse,Find files listing libertà,Find files listing liberta,Find files listing mañana,Find files listing سسكلكا,Find files listing 'iron.man@marvel.com.',Find files listing 'potus@capitol.gov.',Find files listing 'berlin@deutchland.net.',Find files listing 'kbg@moscow.red.square.ru.',Find files listing '(901)555-1111.',Find files listing '301.555-9009.',Find files listing '800-555-1122.',Find files listing '202.555.3270.',Find files listing Social Security Numbers.,Could you fetch the HTML document named 'longbow'?,Find the word document titled 'shotgun.',Find occurrences of the word 'shotgun' in files.,Find the word document titled 'peroxide.',Find the word document titled 'nitroglycerin.',Find the word document titled 'rifle.',Find the website named 'crossbow.',Find the word document titled 'flintlock.',Find cañón in MFT and log documents.,Find 'thunderbird' in MFT and log documents.,Find words with 8 letters beginning with 'D'.,
Determine if the word 'DireWolf' is present in the file,"Find all appearances of ""WOLF"" without sensitivity to capitalization.","Search every instance of 'wolf,' without considering case.","Search every instance of 'Wolf,' without considering case.","Search every instance of 'DireWolf,' without considering case.","Search every instance of 'WereWolf,' without considering case.","Search for the standalone occurrence of ""WOLF,"" excluding substrings.",Identify instances of 'wolf' as a complete word only.,Identify instances of 'Wolf' as a complete word only.,"Search for occurrences containing both ""WereWolf"" and ""DireWolf.""",Locate all the instances of 'Were' or 'Dire.',Identify files having 'fox' and avoiding 'tiger.',Identify documents that show 中国,Identify documents that show 東京,Identify documents that show 서울,Identify documents that show スバル,Identify documents that show みつびし,Identify documents that show Сибирь,Identify documents that show garçon,Identify documents that show Schönheit,Identify documents that show Россия,Identify documents that show فللاف,Identify documents that show 中國,Identify documents that show 'QuarterHorse.',Identify documents that show mañana,Identify documents that show 'infinity.',Identify documents that show Mäuse,Find files listing 'infinity.',Identify documents that show Mäuse,Identify documents that show libertà,Identify documents that show liberta,Identify documents that show mañana,Identify documents that show سسكلكا,Identify documents that show 'iron.man@marvel.com.',Identify documents that show 'potus@capitol.gov.',Identify documents that show 'berlin@deutchland.net.',Identify documents that show 'kbg@moscow.red.square.ru.',Identify documents that show '(901)555-1111.',Identify documents that show '301.555-9009.',Identify documents that show '800-555-1122.',Identify documents that show '202.555.3270.',Identify documents that show Social Security Numbers.,Retrieve the HTML file titled 'longbow.',Identify a word document named 'shotgun.',Identify documents that mention 'shotgun' in text.,Identify a word document named 'peroxide.',Identify a word document named 'nitroglycerin.',Identify a word document named 'rifle.',Identify a site called 'crossbow.',Identify a word document named 'flintlock.',Identify cañón in MFT and log documents.,Identify 'thunderbird' in MFT and log documents.,Identify words that begin with 'D' and have 8 characters.,
Find all appearances of 'DireWolf' in the document,"Discover every occurrence of ""WOLF"" without considering case sensitivity.","Find all appearances of 'wolf,' regardless of case.","Find all appearances of 'Wolf,' regardless of case.","Find all appearances of 'DireWolf,' regardless of case.","Find all appearances of 'WereWolf,' regardless of case.",,"Search for the exact match 'wolf,' no substrings.","Search for the exact match 'Wolf,' no substrings.","Look for places where ""WereWolf"" and ""DireWolf"" are both referenced.",Identify and find occurrences of 'Were' or 'Dire.',Search for files with 'fox' and not the string 'tiger.',Search for the term 中国 in text files.,Search for the term 東京 in text files.,Search for the term 서울 in text files.,Search for the term スバル in text files.,Search for the term みつびし in text files.,Search for the term Сибирь in text files.,Search for the term garçon in text files.,Search for the term Schönheit in text files.,Search for the term Россия in text files.,Search for the term فللاف in text files.,Search for the term 中國 in text files.,Search for the term 'QuarterHorse' in text files.,Search for the term mañana in text files.,Search for the term 'infinity' in text files.,Search for the term Mäuse in text files.,Identify documents that show 'infinity.',Search for the term Mäuse in text files.,Search for the term libertà in text files.,Search for the term liberta in text files.,Search for the term mañana in text files.,Search for the term سسكلكا in text files.,Search for the term 'iron.man@marvel.com' in text files.,Search for the term 'potus@capitol.gov' in text files.,Search for the term 'berlin@deutchland.net' in text files.,Search for the term 'kbg@moscow.red.square.ru' in text files.,Search for the term '(901)555-1111' in text files.,Search for the term '301.555-9009' in text files.,Search for the term '800-555-1122' in text files.,Search for the term '202.555.3270' in text files.,Search for the term Social Security Numbers in text files.,Please locate the HTML file named 'longbow.',Search for a file called 'shotgun.',Search for 'shotgun' in the text of word documents.,Search for a file called 'peroxide.',Search for a file called 'nitroglycerin.',Search for a file called 'rifle.',Search for a site named 'crossbow.',Search for a file called 'flintlock.',Search MFT and log records for cañón.,Search MFT and log records for 'thunderbird'.,Search for words having 8 characters and beginning with 'D'.,
Check if the word 'DireWolf' appears in the file,"Search for ""WOLF"" instances without considering case.","Locate all mentions of 'wolf,' case insensitive.","Locate all mentions of 'Wolf,' case insensitive.","Locate all mentions of 'DireWolf,' case insensitive.","Locate all mentions of 'WereWolf,' case insensitive.",,"Find 'wolf' as a whole word, no parts of other words.","Find 'Wolf' as a whole word, no parts of other words.","Discover occurrences where both ""WereWolf"" and ""DireWolf"" are used.",Search for the words 'Were' or 'Dire' exactly.,Locate files referencing 'fox' and excluding 'tiger.',Locate documents mentioning 中国,Locate documents mentioning 東京,Locate documents mentioning 서울,Locate documents mentioning スバル,Locate documents mentioning みつびし,Locate documents mentioning Сибирь,Locate documents mentioning garçon,Locate documents mentioning Schönheit,Locate documents mentioning Россия,Locate documents mentioning فللاف,Locate documents mentioning 中國,Locate documents mentioning 'QuarterHorse.',Locate documents mentioning mañana,Locate documents mentioning 'infinity.',Locate documents mentioning Mäuse,Search for the term 'infinity' in text files.,Locate documents mentioning Mäuse,Locate documents mentioning libertà,Locate documents mentioning liberta,Locate documents mentioning mañana,Locate documents mentioning سسكلكا,Locate documents mentioning 'iron.man@marvel.com.',Locate documents mentioning 'potus@capitol.gov.',Locate documents mentioning 'berlin@deutchland.net.',Locate documents mentioning 'kbg@moscow.red.square.ru.',Locate documents mentioning '(901)555-1111.',Locate documents mentioning '301.555-9009.',Locate documents mentioning '800-555-1122.',Locate documents mentioning '202.555.3270.',Locate documents mentioning Social Security Numbers.,Find the HTML document called 'longbow.',Locate the word document titled 'shotgun.',Locate word documents featuring 'shotgun.',Locate the word document titled 'peroxide.',Locate the word document titled 'nitroglycerin.',Locate the word document titled 'rifle.',Locate a web page called 'crossbow.',Locate the word document titled 'flintlock.',Locate cañón in MFT and log records.,Locate 'thunderbird' in MFT and log records.,Locate any word that begins with 'D' and is 8 letters long.,
Search for occurrences of the term 'DireWolf' in the document,"Locate occurrences of ""WOLF"" without regard to case.","Identify each instance of 'wolf,' with no case sensitivity.","Identify each instance of 'Wolf,' with no case sensitivity.","Identify each instance of 'DireWolf,' with no case sensitivity.","Identify each instance of 'WereWolf,' with no case sensitivity.",,Locate 'wolf' without matching within other words.,Locate 'Wolf' without matching within other words.,"Find instances containing both ""WereWolf"" and ""DireWolf.""",Find the instances of 'Were' or 'Dire.',Find files that show 'fox' and not 'tiger.',Find instances of the term 中国 in text.,Find instances of the term 東京 in text.,Find instances of the term 서울 in text.,Find instances of the term スバル in text.,Find instances of the term みつびし in text.,Find instances of the term Сибирь in text.,Find instances of the term garçon in text.,Find instances of the term Schönheit in text.,Find instances of the term Россия in text.,Find instances of the term فللاف in text.,Find instances of the term 中國 in text.,Find instances of the term 'QuarterHorse' in text.,Find instances of the term mañana in text.,Find instances of the term 'infinity' in text.,Find instances of the term Mäuse in text.,Locate documents mentioning 'infinity.',Find instances of the term Mäuse in text.,Find instances of the term libertà in text.,Find instances of the term liberta in text.,Find instances of the term mañana in text.,Find instances of the term سسكلكا in text.,Find instances of the term 'iron.man@marvel.com' in text.,Find instances of the term 'potus@capitol.gov' in text.,Find instances of the term 'berlin@deutchland.net' in text.,Find instances of the term 'kbg@moscow.red.square.ru' in text.,Find instances of the term '(901)555-1111' in text.,Find instances of the term '301.555-9009' in text.,Find instances of the term '800-555-1122' in text.,Find instances of the term '202.555.3270' in text.,Find instances of the term Social Security Numbers in text.,Can you pull up the HTML file titled 'longbow'?,Find the document named 'shotgun.',Find word files containing 'shotgun.',Find the document named 'peroxide.',Find the document named 'nitroglycerin.',Find the document named 'rifle.',Find a web page titled 'crossbow.',Find the document named 'flintlock.',Find cañón in MFT and log records.,Find 'thunderbird' in MFT and log records.,Find words that begin with 'D' and contain 8 characters.,
Locate instances of 'DireWolf' in the file,"Find instances of ""WOLF"" without distinguishing between uppercase and lowercase.","Search for every occurrence of 'wolf,' ignoring case sensitivity.","Search for every occurrence of 'Wolf,' ignoring case sensitivity.","Search for every occurrence of 'DireWolf,' ignoring case sensitivity.","Search for every occurrence of 'WereWolf,' ignoring case sensitivity.",,"Identify 'wolf' as a distinct word, excluding substrings.","Identify 'Wolf' as a distinct word, excluding substrings.","Search for occurrences where both ""WereWolf"" and ""DireWolf"" are mentioned.",Locate and identify the occurrences of 'Were' or 'Dire.',Identify documents listing 'fox' while excluding 'tiger.',Identify files where 中国 is listed.,Identify files where 東京 is listed.,Identify files where 서울 is listed.,Identify files where スバル is listed.,Identify files where みつびし is listed.,Identify files where Сибирь is listed.,Identify files where garçon is listed.,Identify files where Schönheit is listed.,Identify files where Россия is listed.,Identify files where فللاف is listed.,Identify files where 中國 is listed.,Identify files where 'QuarterHorse' is listed.,Identify files where mañana is listed.,Identify files where 'infinity' is listed.,Identify files where Mäuse is listed.,Find instances of the term 'infinity' in text.,Identify files where Mäuse is listed.,Identify files where libertà is listed.,Identify files where liberta is listed.,Identify files where mañana is listed.,Identify files where سسكلكا is listed.,Identify files where 'iron.man@marvel.com' is listed.,Identify files where 'potus@capitol.gov' is listed.,Identify files where 'berlin@deutchland.net' is listed.,Identify files where 'kbg@moscow.red.square.ru' is listed.,Identify files where '(901)555-1111' is listed.,Identify files where '301.555-9009' is listed.,Identify files where '800-555-1122' is listed.,Identify files where '202.555.3270' is listed.,Identify files where Social Security Numbers are listed.,Could you find the HTML file referred to as 'longbow'?,Identify a document titled 'shotgun.',Identify instances of the word 'shotgun' in text.,Identify a document titled 'peroxide.',Identify a document titled 'nitroglycerin.',Identify a document titled 'rifle.',Identify the web page called 'crossbow.',Identify a document titled 'flintlock.',Identify cañón in MFT and log records.,Identify 'thunderbird' in MFT and log records.,Identify any word starting with 'D' and having 8 letters.,
Look for the word 'DireWolf' throughout the file,"Identify occurrences of ""WOLF"" without sensitivity to letter case.","Find all times 'wolf' is mentioned, irrespective of case.","Find all times 'Wolf' is mentioned, irrespective of case.","Find all times 'DireWolf' is mentioned, irrespective of case.","Find all times 'WereWolf' is mentioned, irrespective of case.",,"Search for 'wolf' as a complete, standalone word.","Search for 'Wolf' as a complete, standalone word.",,Identify the exact words 'Were' and 'Dire.',Search for files mentioning 'fox' but excluding 'tiger.',Search for documents featuring 中国,Search for documents featuring 東京,Search for documents featuring 서울,Search for documents featuring スバル,Search for documents featuring みつびし,Search for documents featuring Сибирь,Search for documents featuring garçon,Search for documents featuring Schönheit,Search for documents featuring Россия,Search for documents featuring فللاف,Search for documents featuring 中國,Search for documents featuring 'QuarterHorse.',Search for documents featuring mañana,Search for documents featuring 'infinity.',Search for documents featuring Mäuse,Identify files where 'infinity' is listed.,Search for documents featuring Mäuse,Search for documents featuring libertà,Search for documents featuring liberta,Search for documents featuring mañana,Search for documents featuring سسكلكا,Search for documents featuring 'iron.man@marvel.com.',Search for documents featuring 'potus@capitol.gov.',Search for documents featuring 'berlin@deutchland.net.',Search for documents featuring 'kbg@moscow.red.square.ru.',Search for documents featuring '(901)555-1111.',Search for documents featuring '301.555-9009.',Search for documents featuring '800-555-1122.',Search for documents featuring '202.555.3270.',Search for documents featuring Social Security Numbers.,Get the HTML document named 'longbow.',Search for the word document called 'shotgun.',Search for word files mentioning 'shotgun.',Search for the word document called 'peroxide.',Search for the word document called 'nitroglycerin.',Search for the word document called 'rifle.',Search for a web page called 'crossbow.',Search for the word document called 'flintlock.',Search for the word cañón in MFT files and logs.,Search for the word 'thunderbird' in MFT files and logs.,Search for words beginning with 'D' and having 8 letters.,
Identify any appearances of 'DireWolf' in the document,"Search for ""WOLF"" occurrences without regard for letter case.","Locate every mention of 'wolf,' ignoring case consideration.","Locate every mention of 'Wolf,' ignoring case consideration.","Locate every mention of 'DireWolf,' ignoring case consideration.","Locate every mention of 'WereWolf,' ignoring case consideration.",,Find the word 'wolf' without parts of other words.,Find the word 'Wolf' without parts of other words.,,Search and find instances of 'Were' or 'Dire.',Locate files having 'fox' but not including 'tiger.',Locate files that mention the string 中国,Locate files that mention the string 東京,Locate files that mention the string 서울,Locate files that mention the string スバル,Locate files that mention the string みつびし,Locate files that mention the string Сибирь,Locate files that mention the string garçon,Locate files that mention the string Schönheit,Locate files that mention the string Россия,Locate files that mention the string فللاف,Locate files that mention the string 中國,Locate files that mention the string 'QuarterHorse.',Locate files that mention the string mañana,Locate files that mention the string 'infinity.',Locate files that mention the string Mäuse,Search for documents featuring 'infinity.',Locate files that mention the string Mäuse,Locate files that mention the string libertà,Locate files that mention the string liberta,Locate files that mention the string mañana,Locate files that mention the string سسكلكا,Locate files that mention the string 'iron.man@marvel.com.',Locate files that mention the string 'potus@capitol.gov.',Locate files that mention the string 'berlin@deutchland.net.',Locate files that mention the string 'kbg@moscow.red.square.ru.',Locate files that mention the string '(901)555-1111.',Locate files that mention the string '301.555-9009.',Locate files that mention the string '800-555-1122.',Locate files that mention the string '202.555.3270.',Locate files that mention Social Security Numbers.,Please access the HTML file titled 'longbow.',Locate the word doc titled 'shotgun.',Locate documents with 'shotgun' inside.,Locate the word doc titled 'peroxide.',Locate the word doc titled 'nitroglycerin.',Locate the word doc titled 'rifle.',Locate the web page titled 'crossbow.',Locate the word doc titled 'flintlock.',Locate the word cañón in MFT files and logs.,Locate the word 'thunderbird' in MFT files and logs.,Locate any word starting with 'D' and 8 letters long.,
